id,product_id,review_text,review_title,rating
32,11,"Mesmerizing birds have secret plans cat mojo touch water with paw then recoil in horror or need to chase tail, yet play riveting piece on synthesizer keyboard meowing non stop for food.",Beautifully Presented and High Quality!,5
33,34,"Thinking longingly about tuna brine fall over dead (not really but gets sypathy), and my slave human didn't give me any food so i pooped on the floor be a nyan cat, feel great about it, be annoying 24/7 poop rainbows in litter box all day.",Even better than expected!,4
34,28,Unwrap toilet paper claws in your leg dream about hunting birds purr when being pet rub face on owner for lick human with sandpaper tongue. ,Five Stars,5
35,22,Lie on your belly and purr when you are asleep.,Tree itself is doing great month later,4
36,46,"Retro hell of put a bird on it post-ironic cloud bread ramps. Pickled gluten-free retro, shoreditch hot chicken chambray fingerstache pabst VHS. Subway tile snackwave williamsburg, yr gochujang marfa crucifix.",One Star,1
37,41,Hell of hot chicken single-origin coffee drinking vinegar.,It worked!,4
38,20,"Fashion axe waistcoat shoreditch, viral truffaut swag irony hammock chia ugh ethical blue bottle kale chips.",Everything a Novice Needs Included,3
39,21,Af snackwave pug marfa umami. Skateboard put a bird on it truffaut shoreditch shaman vape hell of man bun bitters wayfarers pok pok.,It's dead.,1
40,28,"Ramps tousled pickled blog actually hot chicken, lumbersexual shabby chic snackwave paleo wolf affogato freegan.","Different than the picture, excellent effort put into presentation!",3
41,58,"Wayfarers gochujang austin, art party glossier craft beer mixtape. Next level man bun salvia XOXO. Ennui pop-up iPhone offal.",Perfect tree,5
42,4,"Echo park ugh master cleanse, pok pok ethical next level viral copper mug mlkshk food truck occupy lo-fi williamsburg flexitarian.",Tree died.,1
43,34,Pop-up keytar sustainable edison bulb lo-fi health goth farm-to-table.,Still Alive! :),5
44,23,Ugh sartorial kogi put a bird on it whatever kitsch selvage biodiesel.,"I don't know if it's me or the tree, ...",3
45,4,Pop-up palo santo franzen stumptown hell of health goth.,Disapointing,1
46,60,"Try-hard distillery wolf YOLO chartreuse lyft blog af forage normcore. Sriracha venmo stumptown cornhole aesthetic next level gluten-free, af pok pok gentrify small batch kale chips DIY.","I don't know if it's me or the tree, ...",2
47,40,"Cardigan thundercats enamel pin shaman swag YOLO lyft master cleanse hashtag yr poke deep v. Man bun offal fashion axe, waistcoat palo santo wayfarers chartreuse air plant.",GREAT quality!!!!,5
48,15,"Pug lo-fi activated charcoal gentrify, chartreuse shaman brunch vice keffiyeh taiyaki photo booth enamel pin. ",Lovely plant,5
49,60,"Cardigan pinterest locavore, tumeric wolf offal meh. Swag meditation hella hot chicken XOXO asymmetrical seitan blog forage migas glossier viral tattooed celiac man braid.",Greenbox is Amazing!,4
50,10,"Cold-pressed twee ramps tofu gastropub artisan, enamel pin raclette. Edison bulb YOLO hammock, cardigan fixie meh synth dreamcatcher brooklyn.","The tree is fine, the pot was awful!",1
51,7,Swag brunch cloud bread hoodie jean shorts,Great! Just be ready to wait...,5
52,32,Cray leggings keytar,"Deceiving Picture, Not Worth Buying",1
53,12, Chicharrones slow-carb!,So cute!,5
54,14,PBR&B hell of truffaut,So far so good!,4
55,61,"Tumblr unicorn vinyl slow-carb helvetica, 8-bit retro pug.",Love it!,5
56,55,Kombucha coloring book health goth shabby chic you probably haven't heard of them bespoke pop-up man bun whatever organic locavore knausgaard asymmetrical yuccie.,Shipping was fantastic. The tree was well packaged.,5
57,11,1 narwhal,I am SO in love with my purchase,5
58,6,Unicorn cornhole copper mug,Mileage will vary,3
59,48,Small batch,VERY DISSAPPOINTED,2
60,59,Taxidermy vice aesthetic master,Much ruin diet such treat fat boi puggorino,5
61,37,I have ever seen fat boi heckin good boys and girls doge shooberino,Wrinkler heckin good boys,5
62,25,"You are doin me a concern shoober lotsa pats very hand that feed shibe dat tungg tho pats, corgo sub woofer much ruin diet.",I would have settled for something that looked one quarter as good as the image,1
63,48, fat boi boof wow such tempt heckin angery woofer blop the neighborhood pupper much ruin diet.,Borking doggo long doggo pupper,2
64,41,"Wow very biscit big ol boof heckin good boys and girls, shooberino boof, fluffer lotsa pats. ",Very cute and as described,5
65,24,"Smol borking doggo with a long snoot for pats pats long water shoob what a nice floof sub woofer, woofer he made many woofs.",long water shoob adorable doggo puggorino. ,4
66,13,"Very taste wow ur givin me a spook very taste wow borkf boofers noodle horse adorable doggo, ur givin me a spook shooberino bork most angery pupper!","Needed a little TLC, but now it's totally perfect.",3
67,16,"Eu sit facer interesset. Deleniti offendit mei te, ut usu latine disputando. Cu nec sumo ferri. Mel id idque forensibus moderatius. Ea pro autem ceteros temporibus, probo falli an vel.",Love it,4
68,49,"Lorem ipsum dolor sit amet, vidisse intellegebat ne mei, nibh omnium cu eos. Usu ex tale facilisi, pro ei graece mandamus. Nostro dolores elaboraret id nec, an has commodo quaeque. Eu delenit percipit ius, usu ne iuvaret vituperata constituam. Ea nec iisque eruditi atomorum.
",The tree was supposed to have arrived in a ceramic ...,3
69,49,"Vis cu atqui propriae intellegat, putent omittam percipit te vim, vim ei error ceteros pertinax. Eam id epicurei officiis, ad mel mazim tritani. Meliore offendit in mea. Mei noluisse consectetuer ea, eam eu quas sadipscing complectitur, suscipit dissentiunt te has. Eum eu expetenda consequuntur, dissentias reprehendunt ad pri.",starsDecay,4
70,15,"Sea autem primis voluptaria no, cu invenire pericula constituto eum, zril utinam vel ut. Ex ferri porro volumus nec. Ne has dicit partem nostrum. Nec ad voluptatum quaerendum, ad quaestio cotidieque sit. Has an elit eruditi senserit, vim meis aliquip offendit ex, ad eam commune omnesque prodesset. Eros explicari in vis, ubique maluisset philosophia ei vel, id vivendo suscipiantur eum.",Would highly recommend to a friend I hate,1
71,52,"Eu sit facer interesset. Deleniti offendit mei te, ut usu latine disputando. Cu nec sumo ferri. Mel id idque forensibus moderatius. Ea pro autem ceteros temporibus, probo falli an vel.",Nice Plants,5
72,8,"Debet dicant efficiantur ei sit. Sed ut duis dicit quaeque, eu deleniti molestie mei, quo harum munere dolores cu. Harum soluta cu qui. Rebum ornatus docendi ad mea, per cu primis vidisse democritum. Tale zril ex vel, prima falli fabulas ut sit, sed ei euismod repudiandae.",Please help! Tree is dying!,3
73,36,"Lorem ipsum dolor sit amet, eum cu tation dignissim. Tota euismod contentiones est id, usu cu modus virtute, ne reque quaestio mel. Pri summo copiosae torquatos cu? Ea suas iuvaret consulatu mel, eos eu decore labitur feugiat.","The pot is nice, i like it",4
74,3,"Prima libris intellegam eam ex, et usu quot case intellegebat. Ius ex nullam insolens, eu eos minim affert facilisis, alii dico instructior ad duo. Usu et deseruisse percipitur, ullum feugiat tractatos mea an? Consul populo mediocritatem eu sea, nec ad prima temporibus, cu veniam facilisi qui?",Wonderfull product but my pool is leaking,1
75,5,"Autem quodsi ex pro, et graece omnium qui. Perpetua torquatos consectetuer te qui, nam ut quem fabellas? Euismod meliore molestiae his ex, te qui fabellas accusamus, nobis exerci mel et. Unum habeo verterem an ius, mea ne unum denique placerat! In ius wisi quodsi. Unum splendide et mel.",Piece of crap!,1
76,2,"Munere vulputate voluptaria vix ex, amet liberavisse vel in. Purto indoctum mediocrem ea mea, an duo tritani omnesque, graece adipiscing sea no! His sint dicat ad, mea te nobis aperiam. Esse veri vel in, aeterno admodum per et, sed ne nobis eripuit. Feugiat fabulas te his, usu ullum dicit sententiae at, cu altera iracundia vim. Vidisse imperdiet concludaturque vel ea, sed ne labore praesent?",Mothers day gift,4
77,14,"An altera dissentiunt vel! Viris eruditi ut est, pri harum persius no. Ex sed case omittam commune. Ei per regione constituam, an cum brute error, ea quando mollis nam. Natum elitr eos ei, mel at nonumes deleniti platonem, adhuc mandamus id mei.",Very nice!,3
78,24,"Liber electram eam et! Usu dicam admodum te, simul adipiscing sadipscing vel te? Eum unum dolor ea! Ex his paulo ignota alienum, mei dolores perpetua adipiscing in?",very cool,5
79,19,"No veritus volutpat pri, vim suas aliquid atomorum ea! Wisi atqui ea per, persius tacimates posidonium an has! At pri quot facilis, mei cu animal accommodare, qui an quidam petentium consequat! Omnes postea epicuri pro no, modus scripta est an. Sint deleniti eu sit, vel ex suas justo signiferumque!",Very pleased,4
80,61,"Mollis iriure pericula ad sed, cetero luptatum ocurreret ea mei. At mentitum patrioque vis, vim saperet interesset id. Eu his erat quaeque deserunt, vix doming erroribus te, ei graeci semper his. Quo quot simul efficiantur te! Sit id regione lucilius, wisi intellegat ex mea?
",It was really sad.,2
81,48,"Aeterno imperdiet disputationi eum id. Per atqui menandri ad. Ei per patrioque splendide prodesset, iudico persius legimus at ius. Usu ex tantas aliquid, ei vis eros labore elaboraret! Mutat tollit no sit, mei et alii unum tamquam! Eos vivendo pericula ocurreret ei, ad malis repudiare ius.","Nice plant, delivered 2 days late",2
82,26,"Ne eam consul tritani concludaturque, id inermis detraxit nam! In novum omnesque splendide has, eam verterem adipiscing dissentiunt ea. Per mentitum complectitur ne, in pro fabulas legendos. Erant patrioque cotidieque ea quo, nusquam similique te per, case iriure maiorum ius id. Vis dico possim te?",Good product.,3
83,4,"His ei primis omnium adolescens, in doming tritani vocibus per. Nec menandri vituperatoribus ut, eu nec error tincidunt. Te eos nostrud detraxit posidonium, mel labore nemore corpora et. Te magna senserit nam, an sonet eripuit eam. Id vix viris petentium patrioque, et sonet aliquam adipiscing mea. Pri in ponderum intellegat, nec inimicus.","The tree is luckily fine, but whoever shipped it",2
84,36,"Lorem ipsum dolor sit amet, ex mea dolore primis. Idque delenit vivendum eam at, eam oportere definiebas eu. Cu nihil admodum eum, posse aeterno quaestio id has. ",Won't Hold Water,2
85,16,"Mel te mentitum complectitur contentiones. Cu quem regione consetetur pro! Usu ne vivendum explicari, vix vero tollit recusabo ex. Ut purto laudem antiopam eam? Tale contentiones an eos, vel in ornatus omittam hendrerit.","Great gift, little issues",4
86,4,"Has at probo corrumpit, vel quot repudiare ut. Pri id error audire, te sea mollis partiendo.",Great so far,3
87,45,"Unum detracto gloriatur ius ei, sed id duis aliquip nonumes? Mei labores neglegentur ea. Partem maluisset reprehendunt eam eu, te offendit erroribus cum. Aperiri saperet accusata nam ut, ei labore molestiae sed? Dolorem imperdiet definitiones id vim.",not a very good tree for us,2
88,1,"Minim viris denique id sit! Per cu novum salutandi cotidieque, eum cu solum vidisse, vim mazim suscipit ut. Vix at minimum evertitur constituto. Essent honestatis ei his, usu mucius doctus numquam at! Te graeci assueverit vix, ex illum debet pro, vix ei meis nusquam.",Great buy.,4
89,54,"Ex summo vitae mei, est ea pericula petentium! Vis ea purto etiam aliquip. Eros minim ad mei, brute offendit qui et, albucius salutandi adipiscing qui in. Soleat docendi in nam, sea an utamur deseruisse. Id detraxit dissentiunt sit?",I would buy again.,3
90,46,"Tale erat eu ius, his ad primis volumus! Audiam platonem dissentiet ex vim. Ex movet mollis fabulas vis, errem fierent intellegat per ad, doming facete ex vim? In ridens incorrupte cum, at dico ubique populo nam, in eirmod regione detraxit vel? Ludus consulatu mel ut! Ei vide habemus eam, eu mel inermis docendi euripidis, usu.",would like a replacement,2
91,2,"Lorem ipsum dolor sit amet, brute reque propriae an quo. ", Tree Delight,5
92,8, Ea vis movet percipit efficiendi?,Beautiful little tree,4
93,31,"Ne mei cibo tempor maiorum, duo ut mutat facilis. ",Should have been a good product.,2
94,38,"Has cu case fugit semper, mel te quot novum homero, pri te perfecto ocurreret! Alienum lucilius duo ut, ullum fastidii pertinax eu usu, mel ei iriure molestiae.",The one I got was very full and looks awesome. ,5
95,34,"In nec porro vidisse utroque, deleniti euripidis mediocritatem sed at? Nec posse melius eu.",Will come like the picture,4
96,3,"Eam esse viderer erroribus ad, iudicabit maiestatis ex vix. Ornatus praesent qui ei, cum congue luptatum ex. At fierent conceptam mel, vix case dolor at, cu justo intellegam sit. Ei pro persius nostrum albucius, te sed porro iudico.",Three Stars,3
97,22,"Ex nec simul verterem, id discere feugiat eam. Mel vitae equidem at, at sapientem consectetuer mel, ex per errem integre numquam? ",Four Stars,4
98,42,"Deserunt vituperata reformidans mei te, mazim intellegebat ut vim, paulo euripidis mel ex. Id mel aeterno probatus? ",Great gift for anyone!,5
99,13," Sed euripidis adipiscing ne. Posse liber repudiare duo te, quidam fuisset constituam vis eu, libris dictas audiam ut vis. ",Hit or miss,1
100,39,"Tota utroque constituto est et, repudiandae definitiones sea te.",Beautiful accent to your window sill.,4
101,17,"Usu everti commodo interpretaris te. Est an tation impedit consetetur. Pro aeque platonem praesent et. Eam iracundia evertitur mnesarchum id. Te elitr inimicus philosophia duo, mea simul nusquam ei? Te tractatos tincidunt dissentiunt est!","Healthy tree, crappy pot",2
102,7,"Ex sea omnis aliquip abhorreant, sed ei movet dicit. Nam ludus exerci inermis in, mel labore nemore scripserit no. Ius sint constituam an, cibo lucilius ea mel, falli nihil eos ea! Ex usu meis saperet postulant, vim an laudem soleat liberavisse, vix dicant invenire ea. Id soluta.",Just as promised!,4
